date,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ
2023-12-07,33.6000,33.6200,33.0000,33.0900,33.6000,24768945,821678041.2500,0.271900,-1.517900,24.031123,4.317407
2023-12-08,33.1000,33.5200,32.6500,32.6500,33.0900,42855554,1413581351.3000,0.470500,-1.329700,23.711580,4.259999
2023-12-11,32.6700,34.2500,32.5100,34.1800,32.6500,41222360,1378790831.8200,0.452600,4.686100,,
2023-12-12,34.0100,34.1500,33.5100,34.0200,34.1800,24803070,838023430.3600,0.272300,-0.468100,24.706522,4.438749
2023-12-13,33.9800,34.0200,33.4000,33.5000,34.0200,17858789,602268360.4500,0.196100,-1.528500,24.328880,4.370902
2023-12-14,33.6000,33.7600,33.2500,33.3200,33.5000,13770361,460738649.0500,0.151200,-0.537300,24.198157,4.347417
2023-12-15,33.3200,33.5800,33.1100,33.3100,33.3200,11371913,378807164.2500,0.124900,-0.030000,24.190895,4.346112
2023-12-18,33.1700,33.7100,32.8900,33.1400,33.3100,12694223,422959126.2500,0.139400,-0.510400,24.067435,4.323931
2023-12-19,33.0200,33.3200,32.8000,33.3200,33.1400,13152199,435108898.6200,0.144400,0.543200,24.198157,4.347417
2023-12-20,33.3100,33.4200,32.7200,32.8000,33.3200,15626343,517117205.4600,0.171600,-1.560600,23.820515,4.279570
2023-12-21,32.6700,33.0800,32.6100,32.8800,32.8000,17876554,586256347.2300,0.196300,0.243900,23.878614,4.290008
2023-12-22,32.7900,32.8800,32.4000,32.7000,32.8800,19413305,633053523.4600,0.213100,-0.547400,23.747891,4.266522
2023-12-25,32.5900,33.1300,32.5100,32.9400,32.7000,16316240,536725200.1200,0.179100,0.733900,23.922188,4.297836
2023-12-26,32.9400,33.0300,32.7100,32.8000,32.9400,16309339,535699789.8300,0.179100,-0.425000,23.820515,4.279570
2023-12-27,32.7600,33.0700,32.7000,32.9400,32.8000,16717162,550386201.9300,0.183500,0.426800,23.922188,4.297836
2023-12-28,32.9400,34.0300,32.7900,33.8500,32.9400,29455876,993731280.1600,0.323400,2.762600,24.583062,4.416568
2023-12-29,33.8100,34.7500,33.6900,34.7200,33.8500,33234284,1141916799.6000,0.364900,2.570200,25.214887,4.530081
2024-01-02,34.6800,34.6800,33.2500,33.7700,34.7200,38424575,1290363710.4100,0.421900,-2.736200,24.524963,4.406130
2024-01-03,33.4800,33.7000,32.8200,33.0600,33.7700,30483582,1008315315.0700,0.334700,-2.102500,24.009336,4.313493
2024-01-04,33.0000,33.0200,32.0400,32.5800,33.0600,34031311,1103184842.0700,0.373600,-1.451900,23.660743,4.250865
2024-01-05,32.3600,32.9400,32.1400,32.4300,32.5800,23476588,763550814.9400,0.257700,-0.460400,23.551808,4.231294
2024-01-08,32.4200,32.4200,31.3000,31.6800,32.4300,30361991,961036038.2200,0.333300,-2.312700,23.007131,4.133438
2024-01-09,31.6600,31.6800,30.4200,31.1500,31.6800,41364530,1276313395.4400,0.454100,-1.673000,22.622227,4.064287
2024-01-10,30.9300,30.9900,30.2000,30.3500,31.1500,29204978,889987096.4300,0.320600,-2.568200,22.041239,3.959907
2024-01-11,30.3500,31.2000,30.2100,30.8600,30.3500,32403085,998882370.9100,0.355700,1.680400,22.411619,4.026449
